what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1324737278017
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1324737278018
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1324737278019
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1324737278020
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1324737278021
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1324737278021
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1324737278022
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1324737278023
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1324737278023
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1324737278023
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1324737278024
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1324737278025
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1324737278025
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.core",1324737278026
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.ui",1324737278026
started,bundle,org.jboss.tools.common,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common",1324737278026
started,bundle,org.jboss.tools.common.model,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.model",1324737278027
started,bundle,org.jboss.tools.usage,1.1.0.v20111021-1509-H27-M4,"org.jboss.tools.usage",1324737278027
os,sysinfo,,,"win32",1324737278031
arch,sysinfo,,,"x86",1324737278031
ws,sysinfo,,,"win32",1324737278031
locale,sysinfo,,,"de_DE",1324737278031
processors,sysinfo,,,"2",1324737278031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324737278031
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1324737278031
java.specification.name,sysinfo,,,"Java Platform API Specification",1324737278031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324737278031
